Location,Sample,id,"leaf_apex_angle","dist_to_widest_leaf","leaf_l","leaf_w","w_non_revoluted_leaf","dist_from_widest_fruit","fruit_l","fruit_w","seed_l","seed_w","sepal_l","sepal_tip_l","sepal_w","old_petal_l","petal_l","old_petal_w","petal_w","stamen_l","anther_l_tubules","anther_l_no_tubules","style_l","bract_l","bract_w","stem_d","shoot_l","pedicel_l","dist_to_lower_bract"
QCWM,01,QCWM01,70.547,1.02,3.458,1.846,1.506,,,,,,1.576,0.498,1.107,4.879,4.879,2.305,2.305,3.674,1.94,0.773,4.684,0.963,0.241,0.382,,26.761,8.605
QCWM,02,QCWM02,52.388,1.535,4.738,2.295,1.962,,,,,,,,,4.516,4.686,1.873,2.055,2.122,1.386,0.708,4.433,1.313,0.35,0.387,78.1,23.016,8.049
QCWM,03,QCWM03,47.726,1.866,5.913,1.971,1.589,3.327,7.328,6.935,,,,0.619,,4.619,4.513,2.254,1.819,3.757,1.912,0.838,4.994,1.328,0.31,0.384,21,21.783,9.314
QCWM,04,QCWM04,71.537,1.339,4.515,2.202,2.027,,,,,,,,,5.008,5.491,2.548,1.991,3.695,2.477,1.029,4.449,1.222,0.366,0.361,112,29.672,12.138
QCWM,05,QCWM05,67.312,1.16,3.658,1.672,1.435,,,,,,1.649,0.768,1.487,5.499,5.499,2.123,2.123,3.624,2.342,1.134,5.327,1.348,0.419,0.314,84.1,37.857,9.219
QCWM,06,QCWM06,68.204,2.904,6.005,2.899,2.361,,,,,,,0.68,,4.821,5.094,2.085,2.21,3.616,2.687,0.988,4.873,1.331,0.291,0.206,77.6,32.581,8.755
QCWM,07,QCWM07,54.871,1.403,5.365,2.089,1.407,,,,,,,,,4.292,4.673,1.987,1.944,3.209,2.514,0.971,4.28,0.994,0.248,0.256,70.1,16.793,2.198
QCWM,08,QCWM08,51.45,2.106,5.703,1.818,1.481,,,,,,,,,4.166,4.166,1.533,1.533,3.299,2.501,0.97,4.648,0.959,0.242,0.221,31,20.977,3.496
QCWM,09,QCWM09,69.452,1.335,3.866,1.745,1.359,,,,,,,0.778,,4.744,5.423,1.521,1.521,3.034,2.122,0.962,5.548,1.235,0.226,0.357,43.1,15.632,5.093
QCWM,10,QCWM10,43.422,1.483,4.283,1.718,1.436,,,,,,,,,4.251,4.243,1.515,1.768,2.859,2.218,0.845,4.075,0.958,0.23,0.214,30.1,33.633,9.319
QCWM,11,QCWM11,54.511,1.01,3.858,1.846,1.494,,,,,,1.709,0.588,1.464,4.863,5.155,1.99,2.072,3.117,2.628,1.046,4.404,1.121,0.166,0.301,34.9,32.912,13.173
QCWM,12,QCWM12,54.085,0.83,4.537,1.633,1.319,,,,,,,,,3.619,3.708,1.858,1.858,3.331,2.375,0.914,3.964,0.739,0.34,0.298,39.8,14.333,1.394
QCWM,13,QCWM13,57.894,1.733,5.227,2.004,1.62,,,,,,,,,4.158,4.629,1.351,1.351,2.537,1.771,0.88,4.008,1.066,0.244,0.366,34.2,18.572,6.343
QCWM,14,QCWM14,48.733,1.298,4.382,2.022,1.608,,,,,,,,,4.365,5.233,1.721,2.008,,,,5.055,1.032,0.169,0.332,78.8,23.099,6.666
QCWM,15,QCWM15,72.214,1.403,3.918,1.963,1.716,,,,,,,0.527,,4.203,4.501,1.668,1.668,3.15,2.539,1.089,3.648,1.124,0.126,0.3,52.5,23.785,6.491
QCWM,16,QCWM16,68.178,1.569,4.542,2.218,1.888,,,,,,,,,4.374,4.715,1.706,1.771,3.467,2.519,1.09,4.818,0.931,0.168,0.391,10.8,28,4.066
QCWM,17,QCWM17,55.525,1.652,4.616,1.464,1.289,,,,,,,,,4.362,4.6,1.785,1.993,3.245,2.451,1.151,4.662,1.018,0.26,0.281,41.1,18.834,4.575
QCWM,18,QCWM18,65.869,1.669,5.086,2.413,2.035,,,,,,,,,4.535,5.099,1.863,1.731,4.044,2.815,1.065,4.793,0.935,0.143,0.322,53.1,27.759,3.864
QCWM,19,QCWM19,63.227,1.65,4.61,1.862,1.469,,,,,,,0.437,,4.467,4.303,1.149,1.637,2.34,1.412,0.664,4.684,0.924,0.142,0.351,50.7,20.048,2.615
QCWM,20,QCWM20,49.116,2.527,6.173,1.99,1.696,,,,,,1.836,0.756,,4.604,4.708,1.713,1.713,3.322,2.091,0.79,4.308,1.348,0.183,0.349,63.8,33.399,8.625
QCFM,01,QCFM01,101.635,1.692,5.903,2.553,1.715,6.649,11.941,11.468,1.866,0.84,1.503,0.77,1.317,5.808,,1.79,,4.234,3.664,1.83,6.166,1.843,0.187,0.529,48.3,25.337,12.968
QCFM,02,QCFM02,118.489,1.666,6.446,3.368,3.091,,,,,,1.459,0.696,1.499,4.214,,2.69,,4.386,3.552,1.852,5.577,1.628,0.165,0.589,91.5,32.684,14.208
QCFM,03,QCFM03,84.277,0.548,4.636,2.05,1.445,5.426,10.783,10.433,0.985,0.705,,,,5.515,,1.84,,4.342,3.17,1.115,5.465,1.04,0.298,0.479,46.3,17.944,5.219
QCFM,04,QCFM04,98.223,1.654,4.913,2.52,2.24,,13.052,10.169,1.136,0.605,,,,5.225,,1.622,,4.696,3.414,1.736,5.404,1.31,0.269,0.405,30.2,30.263,9.716
QCFM,05,QCFM05,133.118,1.63,4.167,2.186,1.572,,,,,,,,,4.693,,1.534,,4.088,3.421,1.593,5.297,1.45,0.246,0.597,47,22.389,6.899
QCFM,06,QCFM06,70.963,1.474,5.073,2.099,1.385,,,,,,,,,5.968,,1.833,,4.142,3.447,1.52,6.162,1.465,0.189,0.441,74.8,27.436,6.088
QCFM,07,QCFM07,108.855,1.775,4.924,3.153,2.449,,,,,,,,,4.915,,1.928,,3.664,3.054,1.414,5.121,1.235,0.157,0.585,50.9,33.303,13.489
QCFM,08,QCFM08,130.972,1.491,4.915,3.071,2.322,,,,,,,,,4.706,,2.128,,4.003,3.467,1.767,6,1.894,0.147,0.538,103.9,25.994,9.226
QCFM,09,QCFM09,124.321,1.334,4.623,2.63,1.586,,15.504,11.857,1.074,0.618,2.154,0.752,1.464,6.269,,2.189,,,,1.407,6.418,1.464,0.203,0.459,66.8,22.359,16.07
QCFM,10,QCFM10,107.183,1.29,4.882,2.835,2.362,,,,,,,,,6.388,,1.733,,4.886,3.689,1.512,7.07,1.54,0.33,0.453,78.6,31.482,14.67
QCFM,11,QCFM11,85.398,2.16,5.353,2.893,2.449,,,,,,2.15,0.758,1.066,6.171,,1.987,,5.052,3.869,2.149,6.446,0.96,0.191,0.463,69.2,18.105,8.24
QCFM,12,QCFM12,106.062,1.342,4.1,2.732,2.129,,,,,,,,,3.728,,1.531,,4.258,2.891,1.352,4.183,1.125,0.326,0.494,39.7,19.957,9.299
QCFM,13,QCFM13,117.73,1.958,5.984,3.358,2.768,,15.321,10.24,1.858,0.975,,0.604,1.712,4.792,,1.837,,4.482,3.33,1.764,5.565,1.502,0.21,0.704,76.4,37.446,7.186
QCFM,14,QCFM14,98.258,1.268,3.692,1.834,1.597,,10.166,8.792,1.624,0.695,,1.141,1.844,6.414,,2.494,,4.863,3.765,1.95,4.196,,,0.553,42.6,32.135,
